title,artist,top genre,year,bpm,energy,danceability,loudness,liveness,valence,duration_s,acousticness,speechiness,popularity 
Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88
Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,86
goosebumps,Travis Scott,rap,2016,130,73,84,-3,15,43,244,8,5,86
Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,86
Closer (feat. Halsey),The Chainsmokers,electropop,2016,95,52,75,-6,11,66,245,41,3,85
Say You Won't Let Go,James Arthur,pop,2016,85,56,36,-7,9,49,211,70,6,85
Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,85
Starboy,The Weeknd,canadian contemporary r&b,2016,186,59,68,-7,14,49,230,14,28,84
HUMBLE.,Kendrick Lamar,conscious hip hop,2017,150,62,91,-7,10,42,177,0,10,84
Congratulations,Post Malone,dfw rap,2016,123,80,63,-4,25,49,220,22,4,83
Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,83
Location,Khalid,alternative r&b,2017,80,45,74,-11,9,33,219,33,43,82
That's What I Like,Bruno Mars,pop,2016,134,56,85,-5,9,86,207,1,4,82
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2017,122,81,87,-4,8,97,199,38,6,82
Redbone,Childish Gambino,atl hip hop,2016,160,35,74,-11,10,57,327,17,12,81
1-800-273-8255,Logic,conscious hip hop,2017,100,57,62,-8,19,35,250,57,5,81
Scared to Be Lonely,Martin Garrix,big room,2017,138,54,58,-8,26,20,221,9,6,81
Unforgettable,French Montana,hip hop,2017,98,77,73,-5,10,73,234,3,12,81
Mask Off,Future,atl hip hop,2017,150,43,83,-9,17,28,205,1,43,81
Look At Me!,XXXTENTACION,emo rap,2017,139,73,76,-6,10,35,126,26,28,80
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,126,59,80,-7,15,78,213,26,9,80
Galway Girl,Ed Sheeran,pop,2017,100,88,62,-3,33,78,171,7,10,80
Passionfruit,Drake,canadian hip hop,2017,112,46,81,-11,11,36,299,26,4,80
do re mi,blackbear,pop,2017,111,59,75,-6,12,17,212,1,5,79
DNA.,Kendrick Lamar,conscious hip hop,2017,140,52,64,-7,8,42,186,0,36,79
Sign of the Times,Harry Styles,dance pop,2017,120,60,52,-5,11,22,341,3,3,79
Despacito,Luis Fonsi,latin,2019,178,80,66,-5,7,84,229,20,15,79
24K Magic,Bruno Mars,pop,2016,107,80,82,-4,15,63,226,3,8,78
Body Like A Back Road,Sam Hunt,contemporary country,2017,99,46,73,-7,14,66,165,45,3,78
Castle on the Hill,Ed Sheeran,pop,2017,135,83,46,-5,14,47,261,2,10,78
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9,52,221,12,7,78
Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,78
Bad and Boujee (feat. Lil Uzi Vert),Migos,atl hip hop,2017,127,67,93,-5,12,18,343,6,24,77
The Night We Met,Lord Huron,indie folk,2015,174,37,44,-10,64,10,208,97,4,77
Slow Hands,Niall Horan,dance pop,2017,86,43,74,-7,6,85,188,1,5,77
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2016,102,76,72,-4,18,74,251,41,5,77
iSpy (feat. Lil Yachty),KYLE,pop rap,2016,75,65,75,-7,23,67,253,38,29,77
Symphony (feat. Zara Larsson),Clean Bandit,dance pop,2017,123,63,71,-5,14,46,212,26,6,77
Bounce Back,Big Sean,detroit hip hop,2017,82,57,78,-6,13,27,222,10,14,76
Most Girls,Hailee Steinfeld,dance pop,2017,103,57,76,-7,9,42,204,5,8,76
Sweet Creature,Harry Styles,dance pop,2017,104,26,43,-9,7,23,225,75,3,76
EscÃ¡pate Conmigo (feat. Ozuna),Wisin,latin,2017,92,86,74,-3,9,79,233,3,8,76
I Donâ€™t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2016,118,45,74,-8,33,9,245,6,6,76
Felices los 4,Maluma,latin,2018,94,76,77,-6,35,72,230,21,13,76
Malibu,Miley Cyrus,dance pop,2017,140,78,57,-6,8,34,232,8,6,76
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,dance pop,2017,98,82,70,-4,19,78,216,8,11,76
Fake Love,Drake,canadian hip hop,2017,134,48,93,-9,18,61,211,11,29,75
September Song,JP Cooper,dance pop,2017,96,62,61,-7,9,37,220,5,4,75
Chantaje (feat. Maluma),Shakira,colombian pop,2017,102,77,85,-3,16,91,196,19,8,75
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,61,-4,17,81,289,6,4,75
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,latin,2016,170,87,64,-4,8,77,308,27,15,74
Otra vez (feat. J Balvin),Zion & Lennox,latin,2016,96,77,83,-5,44,70,209,6,10,74
Slippery (feat. Gucci Mane),Migos,atl hip hop,2017,142,67,92,-6,10,74,304,31,26,74
Tunnel Vision,Kodak Black,florida rap,2017,172,49,50,-8,12,23,268,6,29,74
Portland,Drake,canadian hip hop,2017,136,44,93,-8,28,35,237,2,26,74
SUBEME LA RADIO,Enrique Iglesias,dance pop,2017,91,82,68,-3,11,65,208,7,8,74
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,74
Despacito - Remix,Luis Fonsi,latin,2019,178,80,65,-4,7,86,230,23,18,74
Green Light,Lorde,art pop,2017,129,72,59,-8,9,25,235,2,10,73
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,conscious hip hop,2017,111,54,66,-9,20,42,227,3,6,73
No Promises (feat. Demi Lovato),Cheat Codes,dance pop,2017,113,67,74,-5,11,60,224,6,13,73
La Rompe Corazones,Daddy Yankee,latin,2017,176,86,69,-3,32,89,205,12,6,72
ELEMENT.,Kendrick Lamar,conscious hip hop,2017,190,71,75,-5,25,48,209,20,49,72
Ahora Dice,Chris Jeday,latin,2017,144,69,70,-5,12,40,271,25,16,72
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,dance pop,2017,121,87,70,-5,10,73,194,15,3,72
Issues,Julia Michaels,dance pop,2017,114,42,69,-7,6,45,176,39,8,72
T-Shirt,Migos,atl hip hop,2017,139,69,87,-4,16,49,242,24,22,71
TÃº Foto,Ozuna,latin,2017,176,56,75,-6,10,81,193,16,5,71
Starving,Hailee Steinfeld,dance pop,2019,100,61,67,-4,10,50,182,41,10,71
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,45,-5,20,47,238,8,17,71
Hey DJ,CNCO,boy band,2018,90,81,80,-6,21,47,207,3,8,71
El Amante,Nicky Jam,latin,2017,180,69,68,-6,14,73,220,24,4,71
Now Or Never,Halsey,dance pop,2017,110,59,67,-5,13,45,215,11,4,71
Sigo ExtraÃ±Ã¡ndote,J Balvin,latin,2016,93,86,90,-4,21,94,201,15,21,70
Solo Dance,Martin Jensen,big room,2016,115,85,75,-2,20,40,175,5,5,70
You Don't Know Me (feat. RAYE),Jax Jones,dance pop,2019,124,67,88,-6,32,67,213,16,14,70
I Feel It Coming,The Weeknd,canadian contemporary r&b,2016,93,82,77,-6,7,59,269,43,12,70
Cold (feat. Future),Maroon 5,pop,2018,100,72,69,-6,5,41,234,14,11,70
Paris,The Chainsmokers,electropop,2017,100,66,65,-6,9,22,222,2,3,70
The Cure,Lady Gaga,dance pop,2017,100,51,70,-5,9,52,211,8,3,70
Weak,AJR,modern rock,2017,124,64,67,-5,18,68,201,14,4,69
Quit (feat. Ariana Grande),Cashmere Cat,downtempo,2017,87,41,44,-7,10,14,258,11,4,69
First Time,Kygo,edm,2017,90,59,63,-7,10,68,194,20,11,69
Touch,Little Mix,dance pop,2017,102,72,61,-4,40,55,213,3,10,68
Bon appÃ©tit,Katy Perry,dance pop,2017,106,79,80,-6,22,52,228,13,6,67
Rollin (feat. Future & Khalid),Calvin Harris,dance pop,2017,92,76,75,-4,22,67,273,45,8,67
Selfish,Future,atl hip hop,2017,96,37,42,-10,38,9,251,3,7,64
Still Got Time,ZAYN,dance pop,2017,121,63,75,-6,9,52,188,13,6,64
No Vacancy,OneRepublic,dance pop,2017,100,73,72,-4,14,48,223,6,5,63
The One,The Chainsmokers,electropop,2017,100,30,76,-11,29,15,178,24,3,63
Call on Me - Ryan Riback Remix,Starley,aussietronica,2016,105,84,67,-4,16,71,222,6,4,63
Let Me Love You,DJ Snake,electronic trap,2016,100,71,49,-5,13,15,206,8,4,61
Good Life (with G-Eazy & Kehlani),G-Eazy,hip hop,2017,168,77,56,-5,6,57,226,0,21,60
Whippin (feat. Felix Snow),Kiiara,dance pop,2017,83,50,87,-7,9,67,161,55,5,58
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,dance pop,2017,105,96,49,-3,13,52,195,3,22,56
One Dance,Drake,canadian hip hop,2016,104,61,79,-6,32,43,174,1,6,52
Attention,Charlie Puth,dance pop,2017,100,63,77,-4,8,78,211,10,4,23
Me RehÃºso,Danny Ocean,latin,2016,105,79,75,-6,5,45,206,3,7,11
XO TOUR Llif3,Lil Uzi Vert,melodic rap,2017,155,75,73,-6,11,40,183,0,23,11
Tuesday,Burak Yeter,electro house,2016,99,64,84,-6,5,68,242,2,7,4
